Year,2004,2005,2006,2009,2010,2011,2012,2013,2014,2015,2016
America,860,946,963,884,986,1028,1014,961,988,1034,1081
Europe Africa and the Middle East,940,1129,1248,1276,1389,1400,1441,1472,1445,1419,1488
Australia New Zealand and South Pacific,338,426,457,467,510,497,487,482,490,475,475
North Asia,992,1086,1192,1014,1197,1259,1285,1191,1315,1334,1491
South and Southeast Asia,1226,1441,1602,1691,2106,2290,2263,2362,2327,2335,2504
China,1500,1563,1901,2150,2744,3284,3814,4558,5006,5298,5033
Taiwan,1128,1184,1232,1120,1224,1235,1213,1250,1214,1201,1238
