Year,By air,By land,By sea
2004,3375,1963,964
2005,3740,2104,1064
2006,4057,2152,1236
2009,3848,1877,1664
2010,4557,2116,1981
2011,4818,2121,2110
2012,4804,1994,2158
2013,4858,1874,2185
2014,4920,1796,2264
2015,4947,1732,2210
2016,5322,1617,2253
2017,5496,1678,2352
