Year,The Americas,"Europe, Africa and the Middle East"," Australia, New Zealand, South Pacific",North Asia,South and SoutheastAsia,Taiwan,The mainland of China,Macao,Overall
2011-12-31,7004 ,7147 ,7849 ,5113 ,6121 ,5860 ,8220 ,4363 ,7470 
2012-12-31,7266 ,7414 ,7943 ,5234 ,6501 ,5759 ,8565 ,4304 ,7818 
2013-12-31,7300 ,7400 ,7959 ,4821 ,6678 ,5730 ,8937 ,3918 ,8123 
2014-12-31,7151 ,7250 ,7558 ,4502 ,6735 ,5598 ,8703 ,3875 ,7960 
2015-12-31,6737 ,6412 ,6530 ,4156 ,6255 ,5092 ,7924 ,4383 ,7234 
2016-12-31,6196 ,5999 ,6636 ,3839 ,5638 ,4585 ,7275 ,3886 ,6599 
