Date,Africa,TheAmericas,"Australia,NewZealand&SouthPacific",Europe,MiddleEast,NorthAsia,South&SoutheastAsia,Taiwan,ThemainlandofChina,Macao,Total
2017-03-01,11770,169079,52630,187820,16017,252483,332297,160589,3330769,72726,4586186
2017-04-01,15476,173200,74981,203417,17811,189824,329358,166892,3521932,82938,4775834
2017-05-01,10812,142787,50139,140861,11433,213033,325114,166827,3450028,75968,4587014
2017-06-01,8523,141279,57284,117918,10847,197742,335055,163588,3097716,73297,4203256
2017-07-01,10806,139161,55789,134927,14206,196487,264025,180352,4077183,94758,5167700
2017-08-01,9460,120618,43986,135456,15684,242059,229376,177920,3955989,92881,5023433
2017-09-01,10841,125603,64829,134911,14312,220311,258269,157363,3572769,75948,4635161
2017-10-01,12845,167229,65127,198611,16879,231859,298480,174188,4033473,79972,5278677
2017-11-01,10272,178481,59569,196297,14338,247170,343769,159009,3680755,81448,4971119
2017-12-01,13825,161690,66361,158656,15090,241470,408194,174824,4232412,114652,5587184
