Year,2004,2005,2006,2009,2010,2011,2012,2013,2014,2015,2016
America,189,217,227,207,226,239,236,214,211,206,215
Europe Africa and the Middle East,153,206,229,247,270,272,287,289,284,270,281
Australia New Zealand and South Pacific,49,62,68,97,101,106,109,102,101,91,101
North Asia,241,275,322,374,474,498,531,470,537,521,591
South and Southeast Asia,179,219,291,596,693,725,709,726,696,667,688
China,1473,1238,1317,1128,1404,1742,1904,2267,2322,1979,1839
Taiwan,119,124,115,93,117,133,134,143,151,135,126
Macao,425,446,508,601,697,754,784,846,880,887,848
