Year,By air,By land,By sea
2004,2138,734,238
2005,2501,924,279
2006,2668,1023,295
2009,2627,1067,304
2010,2885,1209,327
2011,2925,1232,345
2012,2942,1174,345
2013,2915,1116,316
2014,2923,1093,312
2015,2928,1082,567
2016,3044,1045,597
2017,3105,1073,573
